,feature,importance,indice
16,bvw,0.11505292576954551,16
5,phie,0.08287404256044967,5
10,sw,0.0781448875141285,10
3,m1r1,0.0669675974467899,3
9,phid,0.0658128252059138,9
8,vcl,0.06258126568733997,8
7,m1r2,0.05649360297002107,7
13,m1r6,0.05111912033236961,13
19,tvd,0.05103715164635665,19
12,m1r3,0.0509750374957127,12
1,depth,0.05082990080959513,1
4,dt,0.05033995106032925,4
15,m1rx,0.04597735810160642,15
6,cal,0.04571217334394233,6
14,m1r9,0.0449085947519862,14
20,grn,0.03568646662829386,20
11,gr,0.034765580537995625,11
18,ktix,0.010570506887490068,18
2,bit,0.00015101125013386013,2
17,k_corte,0.0,17
0,id,0.0,0
